Number,Name,HCM Cut (m s^-1),Number of Members,Notes
11048,1990 QZ5,50,35,"extended in e, compact in i"
15454,1998 YB3,50,340,"large bodies, C-type"
19093,1979 MM3,90,71,"split of 709 Fringilla (FIN 623)"
26369,1999 CG62,50,43,"small, C-type"
31810,1999 NR38,60,103,"diffuse, S-type"
37981,1998 HD130,90,419,"split of 709 Fringilla (FIN 623)"
77873,2001 SQ46,50,21,"small, C-type"
78225,2002 OS10,60,88,diffuse
211772,2004 BQ90,70,295,"diffuse, C-type"
217472,2005 WV105,40,37,small
52,Europa,50,250,"diffuse, C-type"
106,Dione,55,261,"extended, diffuse, 3136?"
260,Huberta,70,190,"extended, C-type, Cybeles, Carruba et al. (2015)"
286,Iclea,50,143,"compact, C-type"
414,Liriope,70,14,"compact, depleted, Cybeles"
633,Zelima,10,88,"in Eos, compact, z _1 resonance, Tsirvoulis (2019)"
690,Wratislavia,30,820,"big, C-type"
850,Altona,60,73,depleted
885,Ulrike,30,45,"compact, C-type"
991,McDonalda,20,260,"in Themis, diffuse"
1323,Tugela,50,412,"big, C-type, 1323 offset, 69559 in Novakovic et al. (2011)"
1357,Khama,30,62,"compact, C-type"
1461,Jean-Jacques,30,174,"compact, numerous small bodies, M-type?"
1524,Joensuu,40,201,K-type?
1599,Giomus,25,322,in Hygiea
2458,Veniakaverin,30,177,in Themis
2562,Chaliapin,22,271,"in Eos, diffuse"
3310,Patsy,15,826,"in Eos, compact"
3803,Tuchkova,10,7,"small, C-type"
4291,Kodaihasu,20,16,compact
4897,Tomhamilton,20,254,"in Eos, 4897 is offset, diffuse"
5228,Maca,30,47,"in Themis, very small"
6924,Fukui,80,146,"extended, C-type, Cybeles, Carruba et al. (2019)"
7504,Kawakita,10,19,"small, C-type"
8737,Takehiro,40,569,"8737 is offset, HCM cut"
9522,Schlichting,100,9,"only a few big bodies, Cybeles, Carruba et al. (2019)"
12911,Goodhue,18,132,in Themis
20674,1999 VT1,10,35,"compact, 20674 offset, Gibbs in Novakovic et al. (2014)"
29880,Andytran,20,44,in Themis
34216,2000 QK75,20,22,"small, C-type"
37455,4727 P-L,40,285,"37455 is offset, C-type"
48412,1986 QN1,60,100,compact
48506,1993 FO10,20,90,"near Tirela, C-type"
63235,2001 BV20,60,35,"small, C-type, Cybeles"
77882,2001 SV124,45,316,"diffuse, HCM cuts, needs confirmation"
106302,2000 UJ87,30,489,"extended, C-type, 86 is offset, 13:6 diffusion?"
157940,1999 XU240,10,19,"compact, low number of bodies"
352479,2008 BO31,30,50,small
365736,2010 WK8,50,40,"small, C-type, Cybeles"
183,Istria,80,301,"big, S-type"
350,Ornamenta,70,716,"in Alauda, big, extended, C-type, 130?"
386,Siegena,100,168,"extended, C-type"
522,Helga,200,34,"extended, C-type, Cybeles, Carruba et al. (2015)"
704,Interamnia,50,413,"offset, cratering?, C-type"
754,Malabar,60,79,"extended, also big bodies, C-type"
1312,Vassar,30,21,"C-type, Novakovic et al. (2011)"
1390,Abastumani,40,65,"small, C-type, Cybeles, Carruba et al. (2019)"
3001,Michelangelo,200,42,"dispersed, no background"
3854,George,130,261,"in Hungarias, extended, diffuse, S-type"
7605,Cindygraber,30,85,"small, C-type, Novakovic et al. (2011)"
63530,2001 PG20,90,419,"extended, C-type"
77899,2001 TS117,200,257,"very extended, low-density, 77899 is offset, M-type?"
78705,2002 TE180,10,24,"compact, S-type"
101567,1999 AW22,50,293,"extended, C-type? 116763 in Novakovic et al. (2011)"
126948,2002 FX3,30,14,"compact, low number of bodies, C-type"
236657,2006 KU114,70,303,"extended, C-type"
316974,2001 FP147,150,53,"dispersed, no background, C-type"
